,Category,Name,Summary_en,Summary_de
0,Gambling games,Zwicken,"Zwicken is an old Austrian and German card game for 4 to 6 players, which is usually played for small stakes and makes a good party game. It is one of the Rams group of card games characterised by allowing players to drop out of the current game if they think they will be unable to win any tricks or a minimum number of tricks.","Zwicken ist ein Kartenspiel, das hauptsächlich in Bayern gespielt wird. Als Glücksspiel unterliegt es gewissen Einschränkungen und ist daher kaum noch verbreitet."
1,Gambling games,Belle (gambling game),"Belle is a lottery-like gambling game, similar to Biribi and Cavagnole, that was brought from Italy to Paris in the 17th century. 
It needs a board with 104 numbers in 13 rows of 8 numbers, on which - similar to roulette - the bets are placed, and a bag containing 104 numbers from which the winning number is drawn.
Depending on the agreement, 100 times or 96 times the bet will be refunded in the event of a win, i.e. the odds are 99:1 or 95:1, respectively, the bank advantage is 4/104 = 3.85% or 8/104 = 7.69%.
In addition to betting on a single number, punters may also bet on a row of 13 numbers or a column of 8.
""Belle (with boards and numbers)"" was included in the list of games prohibited in Austria-Hungary by the Imperial and Royal Ministry of Justice.","Belle ist ein lottoartiges, im 17. Jahrhundert aus Italien nach Paris gebrachtes Hasardspiel ähnlich dem Biribi bzw. Cavagnole.
Man gebraucht dazu eine Tafel mit 104 Nummern in 13 Reihen zu 8 Nummern, auf der – ähnlich dem Roulettespiel – die Einsätze getätigt werden, und einer Anzahl von 104 Nummern in einem Beutel, aus dem die Gewinnnummer gezogen wird.
Je nach Vereinbarung wird im Gewinnfall der 100fache bzw. 96fache Einsatz zurückerstattet, d. h. die Gewinnquote beträgt 99:1 bzw. 95:1, der Bankvorteil somit 4/104 = 3,85 % bzw. 8/104 = 7,69 %.
Neben dem Setzen auf eine volle Nummer konnte man auch auf eine Reihe zu 13 Nummern oder eine Spalte zu 8 setzen.
Belle (mit Tafeln und Nummern) wurde auf der Liste verbotener Spiele des k.u.k. Justizministeriums angeführt."
2,Gambling games,"Belle, Flux et Trente-et-Un","Belle, Flux et Trente-et-Un, is an historical, gambling, card game that was widespread in France and Germany during the 17th and 18th centuries. As a relative of Brag and Poch, from which the game of Poker developed, it is of cultural-historical interest. 
The game is also called Les Trois Jeux (""The Three Games"") or, in German, Dreisatz (""Triple Stake"") or Belle, Fluss und Einunddreißig (""Belle, Flush and Thirty One""). Meanwhile Parlett records it as Best, Flush and Thirty-One.","Belle, Fluss und Einunddreißig, auch Dreisatz bzw. frz. Belle, Flux et Trente-et-un oder Les trois jeux ist ein historisches Karten-Glücksspiel, das in Deutschland und Frankreich im 17. und 18. Jahrhundert verbreitet war. 
Als Verwandter des Brag und des Poch, aus dem sich das Poker-Spiel entwickelt hat, ist es von kulturhistorischem Interesse."
3,Gambling games,Bingo (American version),"In the United States, bingo is a game of chance in which each player matches the numbers printed in different arrangements on cards. The game host (caller) draws at random, marking the selected numbers with tiles. When a player finds the selected numbers are arranged on their card in a row, they call out ""Bingo!"" to alert all participants to a winning card, which prompts the game host (or an associate assisting the host) to examine the card for verification of the win. Players compete against one another to be the first to have a winning arrangement for the prize or jackpot. After a winner is declared, the players clear their number cards of the tiles and the game host begins a new round of play.
Alternative methods of play try to increase participation by creating excitement. Since its invention in 1929, modern bingo has evolved into multiple variations, with each jurisdiction's gambling laws regulating how the game is played. There are also nearly unlimited patterns that may be specified for play. Some games require only one number to be matched, while cover-all games award the jackpot for covering an entire card. There are even games that award prizes to players for matching no numbers or achieving no pattern.
Bingo played in the U.S. (75-ball bingo) is not to be confused with bingo played in the U.K. (90-ball bingo), as the tickets and the calling are slightly different.","Bingo ist ein Lotteriespiel, das insbesondere im Vereinigten Königreich, auf den Philippinen und in den USA sehr beliebt ist. Bingo ist ein Abkömmling des Gesellschaftsspiels Lotto."
4,Gambling games,Biribi,"Biribi, biribissi (in Italian), or cavagnole (in French), was an Italian game of chance similar to roulette, played for low stakes, that was banned in 1837. It was played on a board on which the numbers 1 to 70 are marked.The players put their stakes on the numbers they wish to back. The banker is provided with a bag from which he draws a case containing a ticket, the tickets corresponding with the numbers on the board. The banker calls out the number, and any players who backed it receive sixty-four times their stake; all other stakes go to the banker.Casanova played it in Genoa (illegally, for it was already banned there) and the South of France in the 1760s, and describes it as ""a regular cheats' game"". He broke the bank (fairly, he claims) and was immediately rumored to have been in collusion with the bag-holder; such collusion, presumably, was common.
In the French army, ""to be sent to Biribi"" was a cant term for being sent to the disciplinary battalions in Algeria.


== References ==","Biribi oder Cavagnole ist ein der Belle ähnliches, historisches, französisches Glücksspiel, das im Jahre 1837 verboten wurde.
Die Spieler tätigen ihre Einsätze auf einem Tableau mit den Nummern 1 bis 70, der Bankhalter zieht aus einem Sack eine Nummernkarte und ruft die Gewinnzahl aus.
Hat ein Spieler auf die gezogene Zahl gesetzt, so erhält er das 64-fache seines Einsatzes ausbezahlt (der Gewinn beträgt somit nur das 63-fache), die übrigen Einsätze verfallen zugunsten des Bankhalters.
Der Bankvorteil beträgt 6⁄70 oder ca. 8,57 %.
Die Redewendung „jemanden nach Biribi schicken“ bedeutete in der französischen Armee, dass jemand zu einem Strafbataillon nach Algerien versetzt wurde."
5,Gambling games,Bouillotte,"Bouillotte is an 18th-century French gambling card game of the Revolution based on Brelan, very popular during the 19th century in France and again for some years from 1830. It was also popular in America. The game is regarded as one of the games that influenced the open-card stud variation in poker. The rules continue to be printed in French gaming compendia.","Bouillotte, auch Brelan, ist ein historisches, französisches Karten-Glücksspiel, das in der Zeit der französischen Revolution und später wieder in den 1830er Jahren sehr beliebt war. Bouillotte ist so wie Brag und Poch als Vorläufer des Poker-Spiels anzusehen."
6,Gambling games,Boule (gambling game),"Boule (French for 'ball') is a gambling game, similar to roulette, that dates back to the popular 19th-century game of Petits Chevaux ('Little Horses').","Boule (franz. Kugel) ist der Name eines dem Roulette ähnlichen Glücksspiels, das aus dem im 19. Jahrhundert beliebten Petits chevaux hervorgegangen ist."
7,Gambling games,Brag (card game),"Brag is an 18th century  British card game, and the British national representative of the vying or ""bluffing"" family of gambling games. It is a descendant of the Elizabethan game of Primero and one of the several ancestors to poker, the modern version just varying in betting style and hand rankings. It has been described as the ""longest-standing British representative of the Poker family.""","Brag ist ein sehr altes, englisches Glücksspiel und ist so wie Poch, Belle, Fluss und Einunddreißig und Bouillotte bzw. Brelan einer der Vorläufer des Poker. Edmond Hoyle (1672–1769) verfasste eine Abhandlung über Brag. Brag entwickelte sich möglicherweise aus Primero, einem dem L’Hombre verwandten, älteren spanischen Kartenspiel."
8,Gambling games,Buki-Domino,"Buki-Domino or Buki (German: Bukidomino, Buki-Domino, Booky-Domino, Buki or Sechser-Domino), is a gambling game that was widely played in Vienna in the early 20th century.","Bukidomino, Sechser-Domino, auch Buki-Domino, Bookie-Domino bzw. Booky-Domino geschrieben, oder kurz Buki ist ein Glücksspiel, das in Wien zu Anfang des 20. Jahrhunderts viel gespielt wurde.
Literarische Erwähnung fand das Bukidomino bei Joseph Roth (Zipper und sein Vater), Egon Erwin Kisch (Lederbranche in Nachlese), vor allem aber im 15. Kapitel des Romans Zwischen neun und neun von Leo Perutz, das zur Gänze der präzisen Schilderung einer Buki-Partie gewidmet ist. Die folgende Beschreibung stützt sich auf die in Perutz’ Roman gegebenen Hinweise sowie auf die im Literaturverzeichnis angeführten Quellen."
9,Gambling games,Caribbean stud poker,"Caribbean stud poker, also called casino stud poker, is a casino table game with rules derived from five-card stud poker. However, unlike standard poker games, Caribbean stud poker is played against the house rather than against other players. There is no option to bluff or deceive as this is played against the house and not other players.","Tropical Stud oder Tropical Stud Poker, auch Caribbean Stud oder Oasis Stud, ist eine Pokervariante, die in Spielbanken angeboten wird. Bei dieser Spielart spielen die Teilnehmer nicht gegeneinander, sondern es spielt jeder Teilnehmer für sich gegen das Casino – im Prinzip handelt es sich daher um ein Zwei-Personen-Spiel."
