Category,Name,Summary_en,Summary_de
Rare dog breeds,Affenpinscher,"The Affenpinscher, also known as the Monkey Terrier, is a terrier-like toy Pinscher breed of dog.","Der Affenpinscher ist eine von der FCI anerkannte Hunderasse aus Deutschland (FCI-Gruppe 2, Sektion 1.1, Standard-Nr. 186)."
Rare dog breeds,Afghan Hound,"The Afghan Hound is a hound that is distinguished by its thick, fine, silky coat and its tail with a ring curl at the end. The breed is selectively bred for its unique features in the cold mountains of Afghanistan. Its local name is Tāžī Spay (Pashto: تاژي سپی) or Sag-e Tāzī (Dari: سگ تازی). Other names for this breed are Tāzī, Balkh Hound, Baluchi Hound, Barakzai Hound, Shalgar Hound, Kabul Hound, Galanday Hound or sometimes incorrectly African Hound. They have the ability to run and turn well.","Der Afghanische Windhund, kurz Afghane, ist eine von der FCI anerkannte Hunderasse, deren Rassestandard in Großbritannien entwickelt wird (FCI-Gruppe 10, Sektion 1, Standard Nr. 228)."
Rare dog breeds,American English Coonhound,"The English Coonhound, also referred to as the American English Coonhound (by the American Kennel Club only) or the Redtick Coonhound, is a breed of coonhound that originated in and is typically bred in the Southern United States. It is descended from hunting hounds, especially foxhounds, brought to America by settlers during the 17th and 18th centuries. The breed's first recognition came from the United Kennel Club in 1905 as the English Fox and Coonhound. Further recognition has been granted in recent years by the American Kennel Club, first in the Foundation Stock Service and in 2011 as a fully recognized member of the hound group.
The breed is of medium height and proportionate weight, and their coats come predominantly in three types: redtick, bluetick, and a tricolor tick pattern. The English Coonhound has a high prey drive and, while it is typically used in 'coon hunting', it is also skilled in treeing. This breed is generally a healthy one, but it is recommended that prospective owners learn to recognize symptoms of bloat, as its large size and deep chest put them at risk of this condition.","Der English Coonhound ist eine nicht  von der FCI anerkannte Hunderasse aus den USA, die zu den Coonhounds gezählt wird. Die Rasse wird vom UKC anerkannt und vom AKC im Rahmen einer möglichen Anerkennung in der Miscellaneous Class geführt.
Der English Coonhound wurde im 19. Jahrhundert in Virginia, Tennessee und Kentucky gezüchtet. Er ist kleiner als der Black and Tan Coonhound, wie dieser ist er ein Jagdhund für die Waschbärenjagd.
Auch wenn der Name etwas anderes vermuten ließe, ist er eine rein US-amerikanische Hunderasse. Sein Name lässt vermuten, dass seine Vorfahren auch aus England kommen. Die Hunde werden bis 68 cm groß. Ihr Fell ist typischerweise kurz und hart, meist rot oder blau getüpfelt, dreifarbig mit Tüpfelung. Die Ohren hängen lang herab und sind dünn."
Rare dog breeds,American Foxhound,"The American Foxhound is a breed of dog that is a cousin of the English Foxhound. They are scent hounds, bred to hunt foxes by scent.","Der American Foxhound ist eine von der FCI (Nr. 303, Gr. 6, Sek. 1) anerkannte Hunderasse aus den Vereinigten Staaten. Die Rasse ist der offizielle State Dog des US-Bundesstaats Virginia."
Rare dog breeds,American Water Spaniel,"The American Water Spaniel (often abbreviated to AWS) is a breed of spaniel which originated in the United States. It was developed in the state of Wisconsin during the 19th century from a number of other breeds, including the Irish and English Water Spaniels. The breed was saved by Dr. Fred J. Pfeifer, who set up the breed club and standard, and whose work led to recognition for the breed by the United Kennel Club, and later, the American Kennel Club. While they are the state dog of Wisconsin, they remain a rare breed.
They are medium-sized dogs, and have a double layered coat, which comes in a variety of brown related shades. A versatile hunting dog, they are also suitable for apartment life due to work by breeders to develop a breed with an even temperament. The AWS may have been involved in the development of the Boykin Spaniel.","Der American Water Spaniel ist eine von der FCI (Nr. 301, Gr. 8, Sek. 3) anerkannte Hunderasse aus den Vereinigten Staaten. Die Rasse ist der offizielle State Dog des US-Bundesstaats Wisconsin."
Rare dog breeds,Ariège Pointer,"The Braque de l'Ariège is a French breed of hunting dog of pointer type. It originates in the Ariège département of Occitanie, in south-western France. The breed name may be rendered in English as Ariège Pointing Dog or Ariège Pointer.","Der Braque de l'Ariège ist eine von der FCI anerkannte französische Hunderasse (FCI-Gruppe 7, Sektion 1.1, Standard Nr. 177)."
Rare dog breeds,Austrian Black and Tan Hound,The Austrian Black and Tan Hound is a breed of dog originating in Austria.,"Die Brandlbracke ist eine von der FCI anerkannte österreichische Hunderasse (FCI-Gruppe 6, Sektion 1.2, Standard Nr. 63)."
Rare dog breeds,Azawakh,"The Azawakh is a breed of dog from West Africa. With ancient origins, it is raised throughout the Sahelian zone of Mali, Niger,  and Burkina Faso.  This region  includes the Azawagh Valley for which the breed is named.  While commonly associated with the nomadic Tuareg people, they are also bred and owned by other ethnic groups such as the Peulh, Bella, and Hausa. The Azawakh is more related to the Sloughi than it is to the Saluki.","Der Azawakh ist eine von der FCI anerkannte afrikanische Windhunderasse (FCI-Gruppe 10, Sektion 3, Standard Nr. 307)."
Rare dog breeds,Barak hound,"The Barak or Bosnian Broken-haired Hound (Serbo-Croatian: Bosanski oštrodlaki gonič / Босански оштродлаки гонич), is a hunting dog breed developed in Bosnia. The breed is a scenthound, originally used to hunt large game. Other names include Bosnian Rough-haired Hound and Bosnian Rough-coated Hound. These names refer to the texture of the shaggy coat, usually called broken-haired or hard in English dog fancier jargon.","Der Stichelhaarige Bosnische Laufhund – Barak (Bosanski Oštrodlaki Gonič – Barak; Босански Оштродлаки Гонич – Барак) ist eine von der FCI anerkannte Hunderasse aus Bosnien (FCI-Gruppe 6, Sektion 1.2, Standard Nr. 155). Die Rasse steht unter dem Patronat der FCI, da es keine Partnerorganisation der FCI in Bosnien und Herzegowina gibt."
Rare dog breeds,Barbet (dog),"The Barbet is a breed of dog; it is a medium-sized French water dog. It is listed in Group 8 (retrievers, flushing dogs, water dogs) by the Société Centrale Canine, the French Kennel Club and the Fédération Cynologique Internationale (International Canine Federation).
The breed name comes from the French word barbe, which means 'beard'.","Der Barbet ist eine von der FCI anerkannte Hunderasse aus Frankreich (FCI-Gruppe 8, Sektion 3, Standard Nr. 105)."
